row,col,x,y,z
156,1,-2.26,1.94,0
157,1,-2.3,1.94,0
158,1,-2.34,1.94,0
159,1,-2.38,1.94,0
160,1,-2.42,1.94,0
161,1,-2.46,1.94,0
162,1,-2.5,1.94,0
163,1,-2.54,1.94,0
164,1,-2.58,1.94,0
165,1,-2.62,1.94,0
166,1,-2.66,1.94,0
167,1,-2.7,1.94,0
168,1,-2.74,1.94,0
169,1,-2.78,1.94,0
170,1,-2.82,1.94,0
171,1,-2.86,1.94,0
172,1,-2.9,1.94,0
173,1,-2.94,1.94,0
174,1,-2.98,1.94,0
175,1,-3.02,1.94,0
176,1,-3.06,1.94,0
177,1,-3.1,1.94,0
178,1,-3.14,1.94,0
179,1,-3.18,1.94,0
180,1,-3.22,1.94,0
181,1,-3.26,1.94,0
182,1,-3.3,1.94,0
183,1,-3.34,1.94,0
184,1,-3.38,1.94,0
185,1,-3.42,1.94,0
186,1,-3.46,1.94,0
187,1,-3.5,1.94,0
188,1,-3.54,1.94,0
189,1,-3.58,1.94,0
190,1,-3.62,1.94,0
191,1,-3.66,1.94,0
192,1,-3.7,1.94,0
193,1,-3.74,1.94,0
194,1,-3.78,1.94,0
195,1,-3.82,1.94,0
196,1,-3.86,1.94,0
197,1,-3.9,1.94,0
198,1,-3.94,1.94,0
199,1,-3.98,1.94,0
0,2,3.98,1.9,0
1,2,3.94,1.9,0
2,2,3.9,1.9,0
3,2,3.86,1.9,0
4,2,3.82,1.9,0
5,2,3.78,1.9,0
6,2,3.74,1.9,0
7,2,3.7,1.9,0
8,2,3.66,1.9,0
9,2,3.62,1.9,0
10,2,3.58,1.9,0
11,2,3.54,1.9,0
12,2,3.5,1.9,0
13,2,3.46,1.9,0
14,2,3.42,1.9,0
15,2,3.38,1.9,0
16,2,3.34,1.9,0
17,2,3.3,1.9,0
18,2,3.26,1.9,0
19,2,3.22,1.9,0
20,2,3.18,1.9,0
21,2,3.14,1.9,0
22,2,3.1,1.9,0
23,2,3.06,1.9,0
24,2,3.02,1.9,0
25,2,2.98,1.9,0
26,2,2.94,1.9,0
27,2,2.9,1.9,0
28,2,2.86,1.9,0
29,2,2.82,1.9,0
30,2,2.78,1.9,0
31,2,2.74,1.9,0
32,2,2.7,1.9,0
33,2,2.66,1.9,0
34,2,2.62,1.9,0
35,2,2.58,1.9,0
36,2,2.54,1.9,0
37,2,2.5,1.9,0
38,2,2.46,1.9,0
39,2,2.42,1.9,0
40,2,2.38,1.9,0
41,2,2.34,1.9,0
42,2,2.3,1.9,0
43,2,2.26,1.9,0
44,2,2.22,1.9,0
